goto,main,None,2
=,9002,None,1006
=,9001,None,1007
=,9001,None,1008
=,9001,None,1013
<,1008,9003,7001
gotoF,7001,None,20
output,None,None,12001
output,None,None,1008
output,None,None,12002
input,None,None,1009
output,None,None,12002
ver,1008,9001,9002
-,1008,9001,5001
+,5001,1001,17001
=,1009,None,17001
+,1008,9001,5002
=,5002,None,1008
goto,None,None,6
output,None,None,12003
=,9001,None,1008
<,1008,9003,7002
gotoF,7002,None,32
ver,1008,9001,9002
-,1008,9001,5003
+,5003,1001,17002
=,17002,None,1011
output,None,None,1011
+,1008,9001,5004
=,5004,None,1008
goto,None,None,22
output,None,None,12002
<,1013,9003,7003
gotoF,7003,None,66
=,9001,None,1009
-,9002,1013,5005
<=,1009,5005,7004
gotoF,7004,None,63
+,1009,9001,5006
=,5006,None,1010
ver,1009,9001,9002
-,1009,9001,5007
+,5007,1001,17003
=,17003,None,1011
ver,1010,9001,9002
-,1010,9001,5008
+,5008,1001,17004
=,17004,None,1012
>,1011,1012,7005
gotoF,7005,None,60
=,1011,None,1014
ver,1009,9001,9002
-,1009,9001,5009
+,5009,1001,17005
=,1012,None,17005
ver,1010,9001,9002
-,1010,9001,5010
+,5010,1001,17006
=,1014,None,17006
+,1009,9001,5011
=,5011,None,1009
goto,None,None,36
+,1013,9001,5012
=,5012,None,1013
goto,None,None,33
output,None,None,12004
=,9001,None,1008
<,1008,9003,7006
gotoF,7006,None,78
ver,1008,9001,9002
-,1008,9001,5013
+,5013,1001,17007
=,17007,None,1011
output,None,None,1011
+,1008,9001,5014
=,5014,None,1008
goto,None,None,68
output,None,None,12002
